0,1,2
946.0,11.0,3.5
670.0,1141.0,2.5
987.0,213.0,3.0
164.0,786.0,3.5
1147.0,961.0,3.0
981.0,8.0,3.0
1130.0,249.0,2.5
1417.0,218.0,3.0
1468.0,539.0,3.0
58.0,257.0,1.0
12.0,11.0,4.0
523.0,13.0,1.5
1126.0,244.0,3.0
559.0,205.0,4.0
1173.0,1882.0,1.0
1238.0,219.0,4.0
1316.0,216.0,4.0
1483.0,207.0,2.5
1187.0,1221.0,3.0
702.0,909.0,0.5
548.0,212.0,4.0
1060.0,293.0,4.0
1451.0,233.0,3.0
53.0,17.0,3.0
557.0,254.0,3.0
670.0,1363.0,4.0
842.0,255.0,3.0
1159.0,249.0,3.0
172.0,239.0,4.0
536.0,243.0,2.5
921.0,1222.0,2.0
255.0,9.0,4.0
777.0,235.0,2.5
385.0,216.0,1.0
1499.0,10.0,2.5
845.0,409.0,1.5
1108.0,236.0,3.5
196.0,236.0,3.0
1474.0,236.0,2.5
1451.0,1655.0,4.0
490.0,256.0,3.5
1241.0,252.0,0.5
406.0,215.0,4.0
331.0,220.0,3.0
36.0,213.0,4.0
396.0,1230.0,3.5
284.0,1028.0,3.0
500.0,220.0,4.0
466.0,243.0,2.5
362.0,210.0,3.0
509.0,577.0,3.0
330.0,220.0,0.5
199.0,691.0,0.5
91.0,574.0,3.0
1391.0,2.0,3.5
971.0,256.0,2.0
442.0,245.0,3.0
146.0,13.0,3.0
199.0,891.0,3.5
442.0,257.0,3.0
1268.0,250.0,3.5
1209.0,246.0,2.0
568.0,1281.0,1.5
1039.0,90.0,2.5
593.0,7.0,4.0
621.0,11.0,3.0
73.0,1.0,3.5
1085.0,215.0,3.5
220.0,5.0,3.5
519.0,12.0,4.0
1230.0,254.0,4.0
1406.0,329.0,3.0
1139.0,207.0,2.0
386.0,1214.0,3.5
392.0,11.0,4.0
168.0,84.0,3.5
670.0,1283.0,3.5
1363.0,248.0,2.5
1091.0,1.0,4.0
25.0,8.0,3.0
753.0,4.0,2.5
818.0,121.0,3.0
368.0,11.0,2.0
1385.0,11.0,4.0
841.0,8.0,4.0
1254.0,121.0,3.5
292.0,13.0,2.5
1474.0,7.0,2.0
1363.0,11.0,3.5
1212.0,215.0,3.0
216.0,257.0,3.0
249.0,205.0,3.0
273.0,205.0,3.5
517.0,212.0,3.0
164.0,780.0,3.5
5.0,208.0,3.0
945.0,213.0,3.5
584.0,13.0,3.0
875.0,12.0,3.5
767.0,219.0,4.0
684.0,234.0,3.5
313.0,31.0,3.0
1019.0,1219.0,2.5
1385.0,244.0,3.0
72.0,1.0,2.5
548.0,244.0,1.5
1076.0,4.0,3.5
1461.0,7.0,3.0
1505.0,241.0,2.0
1475.0,256.0,4.0
451.0,4.0,4.0
1187.0,728.0,3.0
1505.0,257.0,4.0
1471.0,207.0,3.0
738.0,11.0,3.0
1457.0,8.0,4.0
420.0,217.0,3.0
1009.0,233.0,3.5
206.0,246.0,3.0
1060.0,187.0,2.5
874.0,211.0,4.0
892.0,287.0,3.0
1462.0,255.0,3.5
691.0,11.0,4.0
817.0,211.0,4.0
705.0,257.0,2.5
1001.0,2.0,4.0
1312.0,3.0,3.0
96.0,17.0,2.5
64.0,256.0,3.0
1454.0,6.0,3.0
172.0,254.0,4.0
899.0,241.0,3.0
1386.0,92.0,3.0
826.0,7.0,4.0
178.0,252.0,2.0
1352.0,213.0,3.5
1017.0,1536.0,1.0
355.0,518.0,4.0
1031.0,1640.0,1.5
291.0,254.0,3.5
1383.0,2037.0,4.0
1197.0,216.0,3.0
1338.0,215.0,0.5
1462.0,257.0,3.0
730.0,214.0,3.5
350.0,217.0,4.0
641.0,4.0,4.0
295.0,8.0,3.5
223.0,3.0,3.5
13.0,230.0,3.0
374.0,241.0,1.0
562.0,251.0,2.0
1448.0,6.0,4.0
274.0,650.0,3.5
495.0,244.0,3.5
1291.0,9.0,3.0
825.0,270.0,4.0
1000.0,2.0,3.0
441.0,249.0,3.0
78.0,177.0,4.0
540.0,241.0,3.0
737.0,121.0,1.5
530.0,251.0,4.0
1209.0,243.0,2.5
1461.0,248.0,3.5
502.0,217.0,2.5
1333.0,2022.0,4.0
1143.0,9.0,3.0
98.0,586.0,4.0
729.0,243.0,2.5
661.0,243.0,1.0
1060.0,294.0,4.0
969.0,1552.0,3.0
294.0,255.0,3.5
669.0,12.0,3.0
1295.0,233.0,0.5
225.0,250.0,4.0
50.0,257.0,3.5
1473.0,257.0,3.5
969.0,1716.0,2.0
1367.0,207.0,3.5
849.0,211.0,3.0
1428.0,213.0,4.0
161.0,365.0,3.5
124.0,257.0,2.0
851.0,213.0,3.5
1234.0,84.0,3.0
1456.0,218.0,4.0
865.0,207.0,2.0
675.0,217.0,3.5
842.0,743.0,0.5
1130.0,219.0,3.5
27.0,205.0,3.5
79.0,398.0,4.0
1460.0,207.0,2.5
1254.0,5.0,3.0
1046.0,11.0,4.0
199.0,433.0,0.5
1013.0,13.0,3.0
50.0,211.0,4.0
634.0,253.0,2.5
982.0,217.0,3.0
851.0,212.0,2.0
805.0,257.0,4.0
969.0,314.0,2.5
735.0,220.0,4.0
209.0,5.0,3.0
190.0,6.0,2.5
3.0,72.0,2.5
1127.0,207.0,2.0
66.0,2.0,3.0
322.0,7.0,4.0
812.0,522.0,3.0
1112.0,1.0,3.0
502.0,257.0,2.5
1409.0,233.0,4.0
1039.0,12.0,3.0
142.0,252.0,3.0
1498.0,121.0,3.5
817.0,213.0,4.0
1056.0,11.0,4.0
634.0,207.0,2.5
914.0,250.0,4.0
1078.0,216.0,3.5
466.0,10.0,2.0
615.0,217.0,2.0
797.0,4.0,3.5
1500.0,12.0,0.5
971.0,205.0,3.5
348.0,12.0,2.5
937.0,220.0,4.0
641.0,217.0,4.0
920.0,239.0,2.5
1241.0,6.0,1.5
167.0,217.0,4.0
819.0,12.0,2.5
171.0,219.0,4.0
1458.0,9.0,4.0
492.0,13.0,3.0
28.0,250.0,3.0
314.0,207.0,3.5
1235.0,251.0,3.0
457.0,245.0,2.5
1432.0,588.0,3.0
905.0,241.0,3.0
747.0,245.0,3.5
364.0,356.0,4.0
182.0,246.0,3.5
1250.0,239.0,3.5
843.0,10.0,2.0
300.0,1053.0,2.5
487.0,7.0,2.0
515.0,3.0,4.0
139.0,257.0,4.0
1438.0,17.0,0.5
1352.0,4.0,4.0
1316.0,11.0,2.5
235.0,2.0,4.0
1504.0,13.0,4.0
81.0,547.0,2.5
1292.0,219.0,1.5
489.0,522.0,3.0
1372.0,9.0,3.5
509.0,9.0,3.5
1187.0,820.0,2.0
1225.0,8.0,3.5
460.0,243.0,1.5
1443.0,2.0,4.0
725.0,308.0,4.0
1139.0,13.0,3.5
397.0,241.0,3.5
199.0,687.0,1.0
905.0,234.0,4.0
1238.0,2.0,3.5
56.0,8.0,3.5
79.0,454.0,3.5
294.0,211.0,3.5
562.0,9.0,1.5
1469.0,217.0,1.0
845.0,121.0,3.5
189.0,244.0,4.0
766.0,255.0,3.0
710.0,215.0,1.5
3.0,200.0,1.0
44.0,10.0,3.5
1167.0,17.0,4.0
1335.0,251.0,3.5
862.0,3.0,3.0
347.0,236.0,3.5
460.0,212.0,2.5
1333.0,2000.0,2.5
29.0,288.0,3.0
1024.0,2.0,3.0
1390.0,11.0,4.0
308.0,1111.0,4.0
200.0,604.0,3.5
1485.0,206.0,3.0
1258.0,13.0,4.0
988.0,1.0,3.0
168.0,246.0,3.5
235.0,7.0,4.0
161.0,742.0,2.0
161.0,454.0,3.5
878.0,5.0,1.5
702.0,1484.0,2.5
1318.0,214.0,2.5
1157.0,389.0,1.5
1502.0,220.0,2.5
205.0,215.0,4.0
107.0,211.0,4.0
1187.0,242.0,2.5
547.0,17.0,3.0
629.0,219.0,3.5
762.0,1.0,1.5
778.0,215.0,3.5
1241.0,17.0,2.0
467.0,9.0,4.0
1015.0,4.0,3.5
946.0,214.0,2.0
672.0,215.0,0.5
920.0,217.0,2.5
436.0,9.0,3.5
671.0,250.0,3.5
308.0,1080.0,0.5
1096.0,256.0,3.5
769.0,1202.0,0.5
384.0,121.0,3.5
1038.0,13.0,2.0
22.0,255.0,4.0
769.0,218.0,3.0
311.0,4.0,3.0
309.0,11.0,3.5
1095.0,236.0,3.5
21.0,214.0,4.0
355.0,218.0,3.5
657.0,215.0,2.5
70.0,253.0,3.5
667.0,210.0,0.5
918.0,248.0,3.5
316.0,244.0,0.5
584.0,2.0,4.0
1239.0,253.0,2.0
1288.0,1275.0,3.5
648.0,13.0,3.0
938.0,1245.0,4.0
1270.0,17.0,1.5
30.0,7.0,0.5
780.0,254.0,3.5
225.0,249.0,3.5
1088.0,13.0,4.0
243.0,209.0,0.5
1092.0,3.0,3.0
854.0,250.0,4.0
272.0,352.0,3.0
1166.0,4.0,4.0
1158.0,13.0,3.5
1269.0,8.0,3.0
1230.0,233.0,3.5
625.0,217.0,4.0
136.0,643.0,4.0
437.0,12.0,2.0
571.0,217.0,4.0
1475.0,249.0,2.0
79.0,408.0,3.0
244.0,2.0,4.0
1157.0,213.0,2.5
1328.0,1368.0,4.0
209.0,246.0,2.0
519.0,1335.0,4.0
1071.0,11.0,4.0
169.0,6.0,3.0
1080.0,211.0,3.0
1274.0,205.0,2.5
1501.0,241.0,1.5
316.0,216.0,0.5
1078.0,3.0,2.5
205.0,205.0,4.0
988.0,10.0,2.0
323.0,604.0,4.0
494.0,13.0,4.0
805.0,234.0,3.0
674.0,217.0,4.0
3.0,43.0,4.0
272.0,948.0,3.5
199.0,892.0,2.5
847.0,1574.0,4.0
670.0,159.0,3.0
1235.0,243.0,3.5
384.0,11.0,3.0
1189.0,2.0,3.0
3.0,36.0,2.0
1238.0,206.0,4.0
500.0,244.0,4.0
169.0,207.0,2.5
168.0,7.0,3.0
346.0,1.0,3.5
288.0,257.0,2.0
225.0,11.0,3.0
164.0,784.0,2.5
494.0,211.0,3.5
313.0,251.0,3.5
63.0,218.0,3.5
591.0,787.0,4.0
172.0,251.0,4.0
967.0,9.0,4.0
215.0,9.0,1.0
307.0,239.0,2.0
898.0,428.0,3.0
578.0,1056.0,3.5
591.0,389.0,2.0
1370.0,7.0,4.0
1318.0,254.0,4.0
928.0,4.0,4.0
165.0,219.0,2.5
408.0,206.0,4.0
1254.0,6.0,4.0
1483.0,1.0,1.0
816.0,278.0,4.0
517.0,243.0,2.0
139.0,233.0,3.0
8.0,217.0,4.0
1187.0,1917.0,2.0
746.0,219.0,2.5
1398.0,716.0,4.0
353.0,4.0,3.0
365.0,243.0,3.0
30.0,248.0,2.5
272.0,943.0,3.0
403.0,12.0,1.5
328.0,3.0,3.0
218.0,234.0,2.0
515.0,220.0,2.5
574.0,236.0,4.0
310.0,455.0,2.5
945.0,255.0,4.0
1469.0,212.0,1.0
946.0,250.0,2.0
675.0,251.0,3.5
734.0,215.0,3.0
392.0,17.0,4.0
795.0,9.0,2.5
890.0,771.0,4.0
845.0,252.0,3.5
1416.0,1.0,4.0
502.0,6.0,4.0
995.0,4.0,4.0
1337.0,215.0,3.5
613.0,243.0,2.5
537.0,11.0,3.0
280.0,9.0,1.5
171.0,206.0,3.5
1024.0,253.0,2.0
3.0,156.0,1.5
1360.0,781.0,1.5
1294.0,3.0,3.0
662.0,255.0,3.5
760.0,241.0,2.0
591.0,746.0,3.0
1304.0,236.0,4.0
1499.0,234.0,1.5
295.0,244.0,2.0
1243.0,1.0,3.0
1217.0,7.0,3.5
1451.0,13.0,3.0
957.0,219.0,3.0
637.0,385.0,4.0
